"","YearRaw","ParkName","Visitors","State","Region","YearTime","UnitName","UnitCode","Geometry","UnitType","GNIS","avg_Visitors","sum_Visitors"
"1","1904","Crater Lake","1500","OR","PW","1904-01-01","Crater Lake National Park","CRLA","POLYGON","National Park","1163670","395788.833333333","94989320"
"2","1904","Hot Springs","101000","AR","MW","1904-01-01","Hot Springs National Park","HOSP","MULTIPOLYGON","National Park","56796","845222.052631579","289065942"
"3","1904","Kings Canyon","1000","CA","PW","1904-01-01","Kings Canyon National Park","KICA","MULTIPOLYGON","National Park","255948","2066604.67141931","3188771008"
"4","1904","Mount Rainier","563","WA","PW","1904-01-01","Mount Rainier National Park","MORA","MULTIPOLYGON","National Park","1528416","1178793.79685265","823976864"
"5","1904","Wind Cave","2900","SD","MW","1904-01-01","Wind Cave National Park","WICA","MULTIPOLYGON","National Park","1263056","1219069.62303665","465684596"
"6","1904","Yellowstone","13727","WY","IM","1904-01-01","Yellowstone National Park","YELL","POLYGON","National Park","1609331","1610027.19385797","838824168"
"7","1905","Crater Lake","1400","OR","PW","1905-01-01","Crater Lake National Park","CRLA","POLYGON","National Park","1163670","395788.833333333","94989320"
"8","1905","Hot Springs","109000","AR","MW","1905-01-01","Hot Springs National Park","HOSP","MULTIPOLYGON","National Park","56796","845222.052631579","289065942"
"9","1905","Kings Canyon","1000","CA","PW","1905-01-01","Kings Canyon National Park","KICA","MULTIPOLYGON","National Park","255948","2066604.67141931","3188771008"
"10","1905","Mount Rainier","928","WA","PW","1905-01-01","Mount Rainier National Park","MORA","MULTIPOLYGON","National Park","1528416","1178793.79685265","823976864"
"11","1905","Wind Cave","2438","SD","MW","1905-01-01","Wind Cave National Park","WICA","MULTIPOLYGON","National Park","1263056","1219069.62303665","465684596"
"12","1905","Yellowstone","26188","WY","IM","1905-01-01","Yellowstone National Park","YELL","POLYGON","National Park","1609331","1610027.19385797","838824168"
"13","1906","Crater Lake","1800","OR","PW","1906-01-01","Crater Lake National Park","CRLA","POLYGON","National Park","1163670","395788.833333333","94989320"
"14","1906","Kings Canyon","900","CA","PW","1906-01-01","Kings Canyon National Park","KICA","MULTIPOLYGON","National Park","255948","2066604.67141931","3188771008"
"15","1906","Mount Rainier","1786","WA","PW","1906-01-01","Mount Rainier National Park","MORA","MULTIPOLYGON","National Park","1528416","1178793.79685265","823976864"
"16","1906","Sequoia","700","CA","PW","1906-01-01","Sequoia National Park","SEQU","POLYGON","National Park","266000","2066604.67141931","3188771008"
"17","1906","Wind Cave","2787","SD","MW","1906-01-01","Wind Cave National Park","WICA","MULTIPOLYGON","National Park","1263056","1219069.62303665","465684596"
"18","1906","Yellowstone","17182","WY","IM","1906-01-01","Yellowstone National Park","YELL","POLYGON","National Park","1609331","1610027.19385797","838824168"
"19","1906","Yosemite","5414","CA","PW","1906-01-01","Yosemite National Park","YOSE","POLYGON","National Park","255923","2066604.67141931","3188771008"
"20","1907","Crater Lake","2600","OR","PW","1907-01-01","Crater Lake National Park","CRLA","POLYGON","National Park","1163670","395788.833333333","94989320"
"21","1907","Kings Canyon","1100","CA","PW","1907-01-01","Kings Canyon National Park","KICA","MULTIPOLYGON","National Park","255948","2066604.67141931","3188771008"
"22","1907","Mount Rainier","2068","WA","PW","1907-01-01","Mount Rainier National Park","MORA","MULTIPOLYGON","National Park","1528416","1178793.79685265","823976864"
"23","1907","Sequoia","900","CA","PW","1907-01-01","Sequoia National Park","SEQU","POLYGON","National Park","266000","2066604.67141931","3188771008"
"24","1907","Wind Cave","2751","SD","MW","1907-01-01","Wind Cave National Park","WICA","MULTIPOLYGON","National Park","1263056","1219069.62303665","465684596"
"25","1907","Yellowstone","16414","WY","IM","1907-01-01","Yellowstone National Park","YELL","POLYGON","National Park","1609331","1610027.19385797","838824168"
"26","1907","Yosemite","7102","CA","PW","1907-01-01","Yosemite National Park","YOSE","POLYGON","National Park","255923","2066604.67141931","3188771008"
"27","1908","Crater Lake","5275","OR","PW","1908-01-01","Crater Lake National Park","CRLA","POLYGON","National Park","1163670","395788.833333333","94989320"
"28","1908","Kings Canyon","1773","CA","PW","1908-01-01","Kings Canyon National Park","KICA","MULTIPOLYGON","National Park","255948","2066604.67141931","3188771008"
"29","1908","Mesa Verde","80","CO","IM","1908-01-01","Mesa Verde National Park","MEVE","POLYGON","National Park","179042","864952.932835821","695422158"
"30","1908","Mount Rainier","2826","WA","PW","1908-01-01","Mount Rainier National Park","MORA","MULTIPOLYGON","National Park","1528416","1178793.79685265","823976864"
"31","1908","Sequoia","1251","CA","PW","1908-01-01","Sequoia National Park","SEQU","POLYGON","National Park","266000","2066604.67141931","3188771008"
"32","1908","Wind Cave","3171","SD","MW","1908-01-01","Wind Cave National Park","WICA","MULTIPOLYGON","National Park","1263056","1219069.62303665","465684596"
"33","1908","Yellowstone","19542","WY","IM","1908-01-01","Yellowstone National Park","YELL","POLYGON","National Park","1609331","1610027.19385797","838824168"
"34","1908","Yosemite","8850","CA","PW","1908-01-01","Yosemite National Park","YOSE","POLYGON","National Park","255923","2066604.67141931","3188771008"
"35","1909","Crater Lake","4171","OR","PW","1909-01-01","Crater Lake National Park","CRLA","POLYGON","National Park","1163670","395788.833333333","94989320"
"36","1909","Kings Canyon","798","CA","PW","1909-01-01","Kings Canyon National Park","KICA","MULTIPOLYGON","National Park","255948","2066604.67141931","3188771008"
"37","1909","Mesa Verde","165","CO","IM","1909-01-01","Mesa Verde National Park","MEVE","POLYGON","National Park","179042","864952.932835821","695422158"
"38","1909","Mount Rainier","5968","WA","PW","1909-01-01","Mount Rainier National Park","MORA","MULTIPOLYGON","National Park","1528416","1178793.79685265","823976864"
"39","1909","Sequoia","854","CA","PW","1909-01-01","Sequoia National Park","SEQU","POLYGON","National Park","266000","2066604.67141931","3188771008"
"40","1909","Wind Cave","3216","SD","MW","1909-01-01","Wind Cave National Park","WICA","MULTIPOLYGON","National Park","1263056","1219069.62303665","465684596"
"41","1909","Yellowstone","32545","WY","IM","1909-01-01","Yellowstone National Park","YELL","POLYGON","National Park","1609331","1610027.19385797","838824168"
"42","1909","Yosemite","13182","CA","PW","1909-01-01","Yosemite National Park","YOSE","POLYGON","National Park","255923","2066604.67141931","3188771008"
