"","Column A","STATE","LATITUDE","LONGITUDE","Location","Location_1"
"1",1,"MI",43.6782237784156,-84.9547992979333,"POINT(43.678223778415614 -84.95479929793335)","POINT(43.678223778415614 -84.95479929793335)"
"2",2,"GA",32.8716137802198,-83.5860398505494,"POINT(32.87161378021981 -83.58603985054937)","POINT(32.87161378021981 -83.58603985054937)"
"3",11,"ID",44.4492615153062,-114.497354558673,"POINT(44.44926151530617 -114.49735455867348)","POINT(44.44926151530617 -114.49735455867348)"
"4",12,"TN",35.8426450574913,-86.2424758196864,"POINT(35.84264505749129 -86.24247581968639)","POINT(35.84264505749129 -86.24247581968639)"
"5",13,"AZ",33.8332981825726,-111.53740828527,"POINT(33.83329818257261 -111.53740828526975)","POINT(33.83329818257261 -111.53740828526975)"
"6",14,"OH",40.3390468551102,-82.7568409986389,"POINT(40.33904685511016 -82.75684099863888)","POINT(40.33904685511016 -82.75684099863888)"
"7",15,"UT",39.8329085225564,-111.858112929825,"POINT(39.83290852255638 -111.85811292982451)","POINT(39.83290852255638 -111.85811292982451)"
"8",16,"SD",44.295806450677,-99.4806246344292,"POINT(44.29580645067696 -99.48062463442925)","POINT(44.29580645067696 -99.48062463442925)"
"9",17,"MD",39.0937334304058,-76.8312468197227,"POINT(39.09373343040576 -76.83124681972267)","POINT(39.09373343040576 -76.83124681972267)"
"10",18,"KY",37.6931439101417,-85.2420515626398,"POINT(37.69314391014168 -85.24205156263977)","POINT(37.69314391014168 -85.24205156263977)"
"11",19,"WY",42.8732409444444,-107.519048082437,"POINT(42.87324094444443 -107.51904808243728)","POINT(42.87324094444443 -107.51904808243728)"
"12",20,"OK",35.5172518515151,-97.161559690303,"POINT(35.517251851515134 -97.16155969030304)","POINT(35.517251851515134 -97.16155969030304)"
"13",3,"NC",35.4806013343023,-79.3904957726745,"POINT(35.48060133430232 -79.39049577267447)","POINT(35.48060133430232 -79.39049577267447)"
"14",21,"NM",34.6861989348958,-106.179770431424,"POINT(34.68619893489582 -106.1797704314236)","POINT(34.68619893489582 -106.1797704314236)"
"15",22,"VI",18.0330895,-64.827296,"POINT(18.0330895 -64.827296)","POINT(18.0330895 -64.827296)"
"16",23,"PA",40.6155807162112,-77.8417829125229,"POINT(40.61558071621122 -77.84178291252289)","POINT(40.61558071621122 -77.84178291252289)"
"17",24,"DC",38.895112,-77.036366,"POINT(38.895112 -77.036366)","POINT(38.895112 -77.036366)"
